Designator,Mid X,Mid Y,Rotation,Layer
HV_ACCU101,98.02,-25.145,180.0,top
HV_DCDC101,31.9575,-19.25,90.0,top
HV_INDI101,126.895,-31.095,180.0,top
HV_VEHI101,126.845,-45.06,180.0,top
IMD_HV101,126.895,-37.93,180.0,top
IMD_LV101,33.75,-68.68,0.0,top
ISOUART_H101,193.25,-41.2075,180.0,top
ISOUART_L101,181.75,-41.2075,180.0,top
JTAG201,80.75,-69.75,180.0,top
K1101,166.37,-48.5525,180.0,top
K1901,76.17,-33.6375,180.0,top
LEAK1,195.5,-15.4725,0.0,top
LEAK2,195.5,-23.2925,0.0,top
MAIN_LV101,89.0,-85.43,0.0,top
NTC1,175.6125,-79.0,270.0,top
NTC2,167.7925,-79.0,270.0,top
NTC3,159.9725,-79.0,270.0,top
NTC4,152.1525,-79.0,270.0,top
NTC5,144.3325,-79.0,270.0,top
Q1001,19.12,-66.375,0.0,top
Q1002,15.12,-66.375,0.0,top
Q101,89.25,-66.25,270.0,bottom
Q102,92.75,-65.5,90.0,bottom
Q104,90.5,-74.25,90.0,top
Q1101,162.75,-70.25,0.0,top
Q1102,172.22,-32.6025,90.0,top
Q1103,157.0,-69.5,0.0,top
Q1104,169.72,-42.3525,180.0,top
Q1901,72.375,-25.04,180.0,top
Q1902,82.4475,-26.7775,270.0,top
Q1903,70.0625,-57.075,180.0,bottom
Q1904,74.75,-54.575,180.0,bottom
Q201,44.75,-83.25,90.0,top
Q202,48.5,-86.5,270.0,top
Q2301,41.0,-63.5,90.0,bottom
Q2302,42.75,-60.0,270.0,bottom
Q401,17.25,-79.08,270.0,bottom
Q402,12.25,-78.08,270.0,bottom
Q403,24.25,-83.58,0.0,bottom
Q404,30.0,-80.83,0.0,bottom
Q801,39.5,-50.75,90.0,bottom
R1001,16.87,-68.875,0.0,top
R1002,18.12,-63.875,0.0,top
R1003,14.62,-63.875,0.0,top
R1004,33.395,-60.895,0.0,top
R1005,39.395,-63.145,0.0,top
R1006,36.645,-60.895,0.0,top
R101,85.75,-63.25,180.0,bottom
R102,86.75,-65.75,90.0,bottom
R103,95.25,-66.5,90.0,bottom
R104,92.75,-68.5,0.0,bottom
R105,93.75,-75.75,0.0,top
R1101,159.75,-70.25,90.0,top
R1102,159.5,-68.0,180.0,top
R1103,154.0,-69.5,270.0,top
R1104,154.75,-72.0,0.0,top
R1105,172.22,-35.3525,180.0,top
R1106,169.97,-37.8525,180.0,top
R1107,166.47,-37.8525,180.0,top
R1108,174.25,-58.5,0.0,top
R1109,161.645,-46.6875,0.0,bottom
R1112,165.0,-64.5,270.0,top
R1116,171.99,-65.25,270.0,top
R1301,191.04,-83.25,270.0,top
R1302,188.53,-83.25,270.0,top
R1401,186.02,-83.25,270.0,top
R1402,183.51,-83.25,270.0,top
R1501,181.0,-83.25,270.0,top
R1502,191.04,-87.6,270.0,top
R1503,188.53,-87.6,270.0,top
R1504,186.02,-87.6,270.0,top
R1505,183.51,-87.6,270.0,top
R1506,181.0,-87.6,270.0,top
R1602,187.47,-19.045,0.0,top
R1603,187.47,-21.555,0.0,top
R1605,187.47,-24.065,0.0,top
R1702,187.47,-26.575,0.0,top
R1703,187.47,-29.085,0.0,top
R1705,187.47,-31.595,0.0,top
R1801,118.25,-78.0,270.0,bottom
R1802,131.25,-84.75,0.0,bottom
R1901,76.52,-21.6875,0.0,top
R1902,62.77,-32.9375,180.0,bottom
R1903,64.52,-34.6875,180.0,bottom
R1904,64.52,-36.6875,180.0,bottom
R1905,58.0,-48.75,0.0,bottom
R1906,70.5,-49.5,270.0,bottom
R1907,68.0,-54.575,180.0,bottom
R1908,67.25,-57.075,90.0,bottom
R1909,79.75,-52.0,0.0,bottom
R1911,71.75,-54.575,270.0,bottom
