Designator,Footprint,Quantity,Value,LCSC Part #
R908,0603,1,"68,1K 0.1%",
"R915, R917",0603,2,100kR 0.1%,
"R918, R919",0603,2,909kR 0.1%,
"T301, T302",Pulse_HM2106NL,2,HM2106NL,
"TH1101, TH1102, TH1901, TH1902",RV_Disc_D16.5mm_W6.7mm_P7.5mm,4,PTCEL17R501TBE,
U1001,VSSOP-8_2.3x2mm_P0.5mm,1,SN74LVC2G02,
U1002,SO-14_3.9x8.65mm_P1.27mm,1,74LVC86AD,
U1003,SO-14_3.9x8.65mm_P1.27mm,1,74LV08,
U1004,SOT-353_SC-70-5,1,74LVC1G32Q,
"U1005, U203, U2301",VSSOP-8_2.3x2mm_P0.5mm,3,SN74LVC1G74,
U1006,TSSOP-14_4.4x5mm_P0.65mm,1,CD4072BPW,
"U1007, U2303",SOT-23-6,2,SN74LVC2G17DCK,
"U1008, U1104, U1904",SOT-23-6,3,SN74LVC2G14DBV,
"U1101, U1102, U1901, U1902",SOP-4_7.5x4.1mm_P2.54mm,4,TCLT1004,
"U1103, U1903, U2002, U908, U911",Converter_DCDC_TRACO_TEA1-xxxxHI_THT,5,TEA1-0505HI,
U1801,Converter_DCDC_RECOM_R-78E-0.5_THT,1,R-78E3.3-1.0,
U1802,Converter_DCDC_RECOM_R-78E-0.5_THT,1,R-78E5.0-1.0,
"U2003, U907, U910",AMC0311R Wide-body SOIC (DWV),3,AMC0311R,
"U2004, U906, U909",SOT-23-5,3,LP5907MFX-3.3,
U201,SOT-23,1,MCP130-270 ITT,
U202,SOT-23-5,1,STWD100YNYWY,
U204,LQFP-100_14x14mm_P0.5mm,1,STM32G483VET6,
U205,SOIC-8_5.3x5.3mm_P1.27mm,1,24LC256-I/SN,
U301,TQFP-48-1EP_7x7mm_P0.5mm_EP5x5mm,1,TLE9015 DQU,
"U401, U901",SOIC-14_3.9x8.7mm_P1.27mm,2,ADCMP393ARZ,
"U501, U601",SOIC-8_3.9x4.9mm_P1.27mm,2,MCP2562-E-SN,
Y201,Oscillator_SMD_EuroQuartz_XO32-4Pin_3.2x2.5mm,1,WE830055951,
